file,title,topic,release,pages,path
pathway-page-m-container-restful-api,Juniper Secure Analytics API Guide,api,JSA 7.3.2,3588,markdown2/extracted/jsa-doc-archives-7.3.2/pathway-page-m-container-restful-api.md
jsa-rest-api-v150,REST API Version 15.0 References,api,JSA 7.4.2,2401,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-rest-api-v150.md
jsa-rest-api-v140,REST API Version 14.0 References,api,JSA 7.4.2,2378,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-rest-api-v140.md
jsa-rest-api-v131,REST API Version 13.1 References,api,JSA 7.4.2,2303,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-rest-api-v131.md
jsa-rest-api-v130,REST API Version 13.0 References,api,JSA 7.4.2,2116,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-rest-api-v130.md
jsa-dsm-7.4.2,Juniper Secure Analytics Configuring DSMs Guide,log-source,JSA 7.4.2,2051,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-dsm-7.4.2.md
jsa-api-guide,Juniper Secure Analytics API Guide,api,JSA 7.3.1,1828,markdown2/extracted/jsa-doc-archives-7.3.1/jsa-api-guide.md
pathway-page-m-dsm-guide-container,Juniper Secure Analytics Configuring DSMs Guide,log-source,JSA 7.3.2,1516,markdown2/extracted/jsa-doc-archives-7.3.2/pathway-page-m-dsm-guide-container.md
jsa-configuring-dsm,Juniper Secure Analytics Configuring DSMs Guide,log-source,JSA 7.3.1,1306,markdown2/extracted/jsa-doc-archives-7.3.1/jsa-configuring-dsm.md
jsa-admin-guide-7.4.2,Juniper Secure Analytics Administration Guide,operations,JSA 7.4.2,685,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-admin-guide-7.4.2.md
strm-configuring-dsm,DSM Configuration Guide,log-source,STRM 2013.1,657,markdown2/extracted/strm-doc-archives/2013_1/strm-configuring-dsm.md
pathway-page-m-container-admin-siem-7.3.3,Juniper Secure Analytics Administration Guide,operations,JSA 7.3.3,643,markdown2/extracted/jsa-doc-archives-7.3.3/pathway-page-m-container-admin-siem-7.3.3.md
pathway-page-m-container-admin-siem,Juniper Secure Analytics Administration Guide,operations,JSA 7.4.1,621,markdown2/extracted/jsa-doc-archives-7.4.1/pathway-page-m-container-admin-siem.md
jsa-administration-guide,Juniper Secure Analytics Administration Guide,operations,JSA 7.3.1,490,markdown2/extracted/jsa-doc-archives-7.3.1/jsa-administration-guide.md
pathway-page-m-container-content-extensions,Content Extensions,rules-offenses,JSA 7.4.1,433,markdown2/extracted/jsa-doc-archives-7.4.1/pathway-page-m-container-content-extensions.md
strm-user-guide,STRM Administration Guide,operations,STRM 2013.1,370,markdown2/extracted/strm-doc-archives/2013_1/strm-user-guide.md
jsa-user-guide-7.4.2,Juniper Secure Analytics Users Guide,general,JSA 7.4.2,345,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-user-guide-7.4.2.md
strm-users-guide,STRM Users Guide,general,STRM 2013.2,344,markdown2/extracted/strm-doc-archives/2013_2/strm-users-guide.md
strm-admin-guide,STRM Administration Guide,operations,STRM 2013.2,310,markdown2/extracted/strm-doc-archives/2013_2/strm-admin-guide.md
JSA 7.3.2 Log Manager Admin Guide,Juniper Secure Analytics Log Manager Administration Guide,operations,JSA 7.3.2,294,markdown2/extracted/jsa-doc-archives-7.3.2/JSA 7.3.2 Log Manager Admin Guide.md
la-administration-guide,Juniper Secure Analytics Log Manager Administration Guide,operations,JSA 7.3.2,294,markdown2/extracted/jsa-doc-archives-7.3.2/la-administration-guide.md
lm-administration-guide,Juniper Secure Analytics Log Manager Administration Guide,operations,JSA 2014.4,278,markdown2/extracted/jsa-doc-archives-2014.4/lm-administration-guide.md
jatp-operators-guide,Juniper ATP Appliance Operator's Guide.book,jatp,JATP 5.0,276,markdown2/extracted/jatp-doc-archives/jatp-operators-guide.md
jsa-users-guide,Juniper Secure Analytics Users Guide,general,JSA 2014.7,268,markdown2/extracted/jsa-doc-archives-2014.7/jsa-users-guide.md
pathway-page-m-container-user-siem,Juniper Secure Analytics Users Guide,general,JSA 7.3.1,252,markdown2/extracted/jsa-doc-archives-7.3.1/pathway-page-m-container-user-siem.md
jsa-risk-manager,Juniper Secure Analytics Risk Manager Users Guide,risk-vulnerability,JSA 7.4.2,247,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-risk-manager.md
jsa-application-framework-guide,Juniper Secure Analytics Application Framework Development Guide,general,JSA 7.3.1,214,markdown2/extracted/jsa-doc-archives-7.3.1/jsa-application-framework-guide.md
