file,title,topic,train,pages,path
high-availability 2,Junos OS High Availability User Guide,routing-upgrade-graceful-restart,25.4,1216,markdown2/extracted/juniper-PDFs-junos-254/juniper-PDFs-junos-254/high-availability 2.md
high-availability,Junos OS High Availability User Guide,routing-upgrade-graceful-restart,26.2,1176,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/high-availability.md
chassis-cluster-security-devices,Junos OS Chassis Cluster User Guide for SRX Series Devices,srx-chassis-cluster,26.2,652,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/chassis-cluster-security-devices.md
virtual-chassis-ex-4200-4500,Virtual Chassis User Guide for EX2200 EX3300 EX4200 EX4500 and EX4550 Switches,virtual-chassis-fallback,24.4,523,markdown2/extracted/juniper-PDFs-junos-244/juniper-PDFs-junos-244/virtual-chassis-ex-4200-4500.md
multinode-high-availability,Junos OS Multinode High Availability,multinode-high-availability,26.2,325,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/multinode-high-availability.md
virtual-chassis-mx,Junos OS Interchassis Redundancy Using Virtual Chassis User Guide for MX Series Routers,mx-virtual-chassis,26.2,305,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/virtual-chassis-mx.md
virtual-chassis-fabric,Virtual Chassis Fabric User Guide,virtual-chassis-fabric,26.2,283,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/virtual-chassis-fabric.md
virtual-chassis-ex-8200,Junos OS for EX Series Ethernet Switches Virtual Chassis User Guide for EX8200 Switches,virtual-chassis-fallback,24.2,230,markdown2/extracted/juniper-PDFs-junos-242/juniper-PDFs-junos-242/virtual-chassis-ex-8200.md
virtual-chassis-qfx,Virtual Chassis User Guide for Switches,qfx-virtual-chassis,26.2,215,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/virtual-chassis-qfx.md
virtual-chassis,Virtual Chassis User Guide for Switches,ex-qfx-virtual-chassis,26.2,200,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/virtual-chassis.md
