file,title,topic,train,pages,path
interfaces-adaptive-services,Junos OS Adaptive Services Interfaces User Guide for Routing Devices,interfaces,26.2,1297,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-adaptive-services.md
cos,Junos OS Class of Service User Guide for Routers,class-of-service,26.2,1089,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/cos.md
interfaces-next-gen-services,Next Gen Services Interfaces User Guide for Routing Devices,interfaces,26.2,581,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-next-gen-services.md
interfaces-ethernet,Junos OS Ethernet Interfaces User Guide for Routing Devices,interfaces,26.2,498,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-ethernet.md
interfaces-telemetry,Junos OS Junos Telemetry User Guide,interfaces,26.2,380,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-telemetry.md
cos-security-devices,Junos OS Class of Service User Guide for Security Devices,class-of-service,26.2,353,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/cos-security-devices.md
interfaces-security-devices,Junos OS Interfaces User Guide for Security Devices,interfaces,26.2,351,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-security-devices.md
interfaces-ethernet-switches,Interfaces User Guide for Switches,interfaces,26.2,335,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-ethernet-switches.md
interfaces-fundamentals,Junos OS Interfaces Fundamentals for Junos OS,interfaces,26.2,293,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-fundamentals.md
cos-hierarchical,Junos OS Hierarchical Class of Service User Guide,class-of-service,26.2,275,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/cos-hierarchical.md
cos-ex,Junos OS for EX Series Ethernet Switches Class of Service User Guide,class-of-service,26.2,237,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/cos-ex.md
interfaces-encryption,Junos OS Tunnel and Encryption Services Interfaces User Guide for Routing Devices,interfaces,26.2,200,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-encryption.md
interfaces-fundamentals-evo,Junos OS Evolved Interfaces Fundamentals for Junos OS Evolved,interfaces,26.2,162,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-fundamentals-evo.md
interfaces-link-multilink,Junos OS Link and Multilink Services Interfaces User Guide for Routing Devices,interfaces,26.2,155,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-link-multilink.md
transport-ip,Junos OS Transport and Internet Protocols User Guide,interfaces,26.2,87,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/transport-ip.md
interfaces-services,Junos OS Services Interfaces Overview for Routing Devices,interfaces,26.2,39,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/interfaces-services.md
