file,title,topic,train,pages,path
config-guide-automation,Junos OS Automation Scripting User Guide,automation scripts events python,22.1,1420,markdown2/extracted/juniper-PDFs-junos-221/config-guide-automation.md
flow-monitoring,Junos OS Monitoring Sampling and Collection Services Interfaces User Guide,flow monitoring telemetry trace logs,26.2,1089,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/flow-monitoring.md
netconf,Junos OS NETCONF XML Management Protocol Developer Guide,netconf telemetry trace rescue load commit,26.2,696,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/netconf.md
junos-install-upgrade,Junos OS Software Installation and Upgrade Guide,software install upgrade validate snapshot rollback,26.2,617,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/junos-install-upgrade.md
junos-xml-protocol,Junos XML Management Protocol Developer Guide,xml protocol compare display set rescue,26.2,491,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/junos-xml-protocol.md
cli,Junos OS CLI User Guide for Junos OS,cli modes pipes commit rollback load rescue groups,26.2,339,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/cli.md
cli-evo,Junos OS Evolved CLI User Guide for Junos OS Evolved,cli evolved modes pipes commit rollback,26.2,310,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/cli-evo.md
open-config,Junos OS OpenConfig User Guide,openconfig grpc gnmi telemetry,26.2,307,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/open-config.md
junos-install-upgrade-evo,Junos OS Evolved Software Installation and Upgrade Guide,evolved software install upgrade rollback,26.2,266,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/junos-install-upgrade-evo.md
sampling-forwarding-monitoring,Junos OS Traffic Sampling Forwarding and Monitoring User Guide,sampling logs monitoring,26.2,215,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/sampling-forwarding-monitoring.md
qfabric-troubleshooting,Troubleshooting and Monitoring for QFabric Systems,snmp statistics monitoring,26.2,177,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/qfabric-troubleshooting.md
system-mgmt-monitoring,System Management and Monitoring User Guide,system monitoring core processes interfaces,26.2,59,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/system-mgmt-monitoring.md
rest-api,Junos OS REST API Guide,rest api explorer,26.2,37,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/rest-api.md
network-mgmt,Junos OS Network Management and Monitoring Guide,snmp communities traps views,26.2,1476,markdown2/extracted/juniper-PDFs-junos-262/juniper-PDFs-junos-262/network-mgmt.md
