rank	total	critical	high	medium	low	score	grade	path
1	7	0	1	2	4	84.0	B	src\maps\_maps_clone.py
2	7	0	1	2	4	84.0	B	src\ssid_consolidation\_ssid_template_phase2.py
3	7	0	0	4	3	85.0	B	src\refactors\serial_cc\switch_vc_stats.py
4	7	0	1	0	6	88.0	B+	src\api\tenant_fetch.py
5	7	0	1	0	6	88.0	B+	src\ui\layout\results_grid_builder.py
6	6	0	4	1	1	73.0	C	src\maps\plotly_heatmap_renderer.py
7	6	0	3	2	1	75.0	C	src\utils\rate_limiting.py
8	6	0	1	5	0	79.0	C+	src\export\site_insights\device_metric_operation.py
9	6	0	2	3	1	79.0	C+	src\websocket\diagnostics\ping_executor.py
10	6	0	2	1	3	82.0	B-	src\maps\_maps_matplotlib.py
11	6	0	2	1	3	82.0	B-	src\maps\plotly_map_callback_manager.py
12	6	0	1	2	3	85.0	B	src\audit\time_parser.py
13	6	0	0	4	2	86.0	B	src\export\wifi_clients_exporter.py
14	6	0	0	4	2	86.0	B	src\ssh\connection\connector.py
15	6	0	0	3	3	88.0	B+	src\site\address_audit\ui_geocoder.py
16	6	0	0	3	3	88.0	B+	src\ssh\shell_execution\shell_executor.py
17	5	0	5	0	0	74.0	C	src\maps\_flask_viewer.py
18	5	0	1	4	0	82.0	B-	src\org_data_collector.py
19	5	0	2	1	2	83.0	B	src\websocket\polling\result_combiner.py
20	5	0	1	3	1	84.0	B	src\db\router.py
21	5	0	1	2	2	86.0	B	src\ssid_consolidation\_ssid_template_phase3.py
22	5	0	1	2	2	86.0	B	src\ssid_consolidation\_ssid_template_phase45.py
23	5	0	1	1	3	88.0	B+	src\refactors\serial_cc\start_site_client_capture_wireless.py
24	5	0	1	1	3	88.0	B+	src\refactors\serial_cc\start_site_scan_capture.py
25	5	0	1	1	3	88.0	B+	src\ui\execution\item_executor.py
26	5	0	1	0	4	90.0	A-	src\bootstrap\dependency_check.py
27	5	0	1	0	4	90.0	A-	src\websocket\polling\message_router.py
28	4	0	2	1	1	84.0	B	src\export\device_events_52w_exporter.py
29	4	0	2	1	1	84.0	B	src\export\site_insights_exporter.py
30	4	0	2	1	1	84.0	B	src\maps\plotly_map_templates.py
31	4	0	1	1	2	89.0	B+	src\bootstrap\package_installer.py
32	4	0	1	1	2	89.0	B+	src\refactors\serial_cc\site_client_insights.py
33	4	0	1	1	2	89.0	B+	src\websocket\polling\result_collector.py
34	3	0	1	2	0	88.0	B+	src\wan_hub_group_manager.py
35	3	0	0	3	0	91.0	A-	src\export\site_insights\site_metric_operation.py
36	2	0	2	0	0	88.0	B+	src\maps\plotly_map_serializer.py
37	2	0	1	1	0	91.0	A-	src\capture\org_capture_workflow.py
38	2	0	1	1	0	91.0	A-	src\capture\site_capture_loop.py
39	2	0	1	1	0	91.0	A-	src\db\retention.py
40	2	0	1	1	0	91.0	A-	src\gateway\overrides\_deps.py
41	2	0	1	1	0	91.0	A-	src\maps\_maps_utils.py
