ARPJun 5, 2025 3:54:38 PM
DEV	  Src MAC		Dest MAC		Source IP	Dest IP		Type	Vlan	Proto	D-Port	State  Idle sec  RL-Class  RL-Kbps  DSCP
----------------------------------------------------------------------------------------------------------------------------------------------------------------
wl2.3     c0-9a-d0-c6-bf-09   	1a-c1-49-53-e4-19	192.168.1.195  	17.253.83.103  	0x0800	0001	ICMP	0	  RUN      24       0	         0    - 
wl2.3     c0-9a-d0-c6-bf-09   	1a-c1-49-53-e4-19	192.168.1.195  	17.253.1.201   	0x0800	0001	TCP	443	  RUN      45       0	         0    - 
wl2.3     c0-9a-d0-c6-bf-09   	1a-c1-49-53-e4-19	192.168.1.195  	216.239.36.131 	0x0800	0001	TCP	5223	  RUN      45       0	         0    - 
wl2.3     c0-9a-d0-c6-bf-09   	1a-c1-49-53-e4-19	192.168.1.195  	17.57.144.120  	0x0800	0001	TCP	5223	  RUN      45       0	         0    - 
wl2.3     c0-9a-d0-c6-bf-09   	1a-c1-49-53-e4-19	192.168.1.195  	23.62.46.216   	0x0800	0001	TCP	443	  RUN      45       0	         0    - 
wl2.3     c0-9a-d0-c6-bf-09   	1a-c1-49-53-e4-19	192.168.1.195  	17.248.193.20  	0x0800	0001	TCP	443	  RUN      45       0	         0    - 
wl2.3     c0-9a-d0-c6-bf-09   	1a-c1-49-53-e4-19	192.168.1.195  	17.145.0.2     	0x0800	0001	TCP	443	  RUN      55       0	         0    - 
aximac1   20-93-39-05-17-80   	ec-8e-77-a6-b1-4d	192.168.1.2    	192.168.1.172  	0x0800	0001	TCP	53101	  RUN       3       0	         0    - 
wl0.2     ec-8e-77-a6-b1-4d   	1a-c1-49-53-e4-19	192.168.1.172  	165.225.34.128 	0x0800	0001	UDP	443	  RUN       0       0	         0    - 
wl0.2     ec-8e-77-a6-b1-4d   	ac-67-84-e8-8a-15	192.168.1.172  	192.168.1.128  	0x0800	0001	TCP	8009	  RUN       0       0	         0    - 
wl0.2     ec-8e-77-a6-b1-4d   	1a-c1-49-53-e4-19	192.168.1.172  	104.129.198.38 	0x0800	0001	TCP	443	  RUN       0       0	         0    - 
